249,0,0,0,0.7381979313790079,0,90,75,0
498,0,0,1,0.7066213617909799,0,90,75,1
747,0,0,1,0.620354834479728,0.5,90,75,0
996,0,0,1,0.7126434218236103,0.5,90,75,0
1306,1,1,0,0.6247245664792256,0.25,90,75,0
1555,0,0,1,0.8059331099159149,0.5,90,75,0
1911,0,1,0,0.8322257497849874,0.25,90,75,0
2265,0,1,0,0.6572939266031245,0,90,75,0
2514,0,0,0,0.6127081981025957,0,90,75,0
2882,0,1,1,0.6848922693441276,0.25,90,75,0
3187,1,1,0,0.6409363315731185,0.25,90,75,0
3436,0,0,1,0.725545690296723,0,90,75,0
3778,1,1,1,0.5515305915452321,0,90,75,0
4027,0,0,1,0.6076687240199965,0,90,75,0
4276,0,0,0,0.7509638052815332,0.25,90,75,0
4632,0,1,1,0.5435914763009617,0,90,75,0
4994,0,1,0,0.6387565100048934,0.5,90,75,0
5358,1,1,1,0.735964559991799,0.25,90,75,1
5607,0,0,1,0.8632964892256005,0.5,90,75,0
5957,0,1,1,0.7467861143924744,0.5,90,75,0
6238,1,1,1,0.7746305383102888,0.25,90,75,0
6487,0,0,0,0.8002626835818722,0,90,75,0
6801,1,1,1,0.7034569105854809,0.25,90,75,0
7050,0,0,1,0.7299949846241578,0,90,75,1
7299,0,0,1,0.6476908187283209,0.25,90,75,1
7548,0,0,1,0.8271577511799918,0,90,75,0
7797,0,0,0,0.7875313687154903,0.5,90,75,0
8152,0,1,1,0.663023762122449,0.5,90,75,0
8510,0,1,0,0.5228333154502942,0.25,90,75,0
8759,0,0,1,0.8227813707651508,0,90,75,0
9123,0,1,0,0.6590415275360649,0.25,90,75,0
9489,0,1,0,0.6803935548961761,0,90,75,0
9843,0,1,1,0.6309207343467913,0,90,75,0
10202,0,1,1,0.6328755461173842,0.5,90,75,0
10559,0,1,0,0.671161777308471,0.5,90,75,0
10909,0,1,1,0.6711647731641491,0,90,75,0
11158,0,0,1,0.778161134914677,0.25,90,75,1
11514,0,1,1,0.6312237128771473,0.5,90,75,0
11869,0,1,1,0.6944019672640007,0.5,90,75,0
12221,0,1,1,0.5235342598134191,0.5,90,75,0
12470,0,0,0,0.8032639180857463,0,90,75,0
12816,1,1,1,0.578712187187936,0,90,75,0
13065,0,0,1,0.7223905974734379,0,90,75,0
13314,0,0,1,0.7180372587087841,0.25,90,75,0
13675,0,1,1,0.7096850528109777,0.5,90,75,0
13924,0,0,1,0.7122472288488481,0.5,90,75,1
14173,0,0,0,0.7700604386720975,0,90,75,0
